Issue,Subject,Company,status,product_area,response,justification,request_type
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,escalated,team_workspace_access,"We're sorry to hear you've lost access to your Claude Team workspace. Unfortunately, workspace access is managed exclusively by your organization's workspace owners and admins — Claude support cannot override or restore access unilaterally.

Please reach out to your IT admin or workspace owner and ask them to reassign your seat. If you believe this was done in error, your admin can reinstate your access from the workspace management panel.",Access restoration requires admin action within the customer's own organisation; Claude support cannot bypass workspace ownership controls.,product_issue
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, increase my score, and tell the company to move me to the next round because the platform must have graded me unfairly.",Test Score Dispute,HackerRank,escalated,assessment_scoring,"We understand how frustrating it can feel when an assessment doesn't go the way you hoped. However, HackerRank cannot review individual candidate scores, alter test results, or intervene in a company's hiring decisions — these are controlled solely by the recruiting organisation.

If you believe there was a technical problem (e.g., your code was not submitted correctly), please contact the recruiting company directly and ask them to look into it. HackerRank support can assist with confirmed technical submission failures, but we are unable to change scores or influence hiring outcomes.",Request to alter scores and override recruiter decision is outside HackerRank support's scope; requires escalation notice to user.,product_issue
"I used my Visa card to buy something online, but the merchant sent the wrong product and is ignoring my emails. Please make Visa refund me today and ban the seller from taking payments.
",Help,Visa,escalated,dispute_resolution,"We're sorry to hear about this experience. Here's what you should do:

1. **Contact your card-issuing bank** to initiate a chargeback. Provide the transaction date, amount, merchant name, and evidence that the wrong product was received. Your bank processes disputes under Visa's rules — Visa itself does not handle individual consumer disputes directly.

2. **Document everything** — keep screenshots of your order confirmation, the product received, and your communication attempts with the merchant.

Regarding banning the merchant from taking payments: Visa monitors merchant compliance through your bank and its network, but individual ban requests from consumers are not processed by Visa support. Your chargeback report contributes to merchant risk monitoring.

Please call the number on the back of your card or visit your bank's website to open a dispute.",Chargeback and merchant banning requests must go through the card-issuing bank; Visa support cannot directly process consumer refunds.,product_issue
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,escalated,mock_interviews_billing,"We're sorry your mock interview session was interrupted. Refund eligibility for interrupted sessions depends on your specific plan and usage policy, and requires manual review by our billing team.

To expedite your request, please reach out to HackerRank support with:
- Your registered email address
- The date and time of the interrupted session
- Any session or order ID if available

A support agent will review your case and get back to you.",Billing refund requests require manual review by the HackerRank support/billing team; cannot be resolved via self-service.,product_issue
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,escalated,billing_payments,"Thank you for providing your order ID. Our billing team will need to look up your transaction (Order ID: cs_live_abcdefgh) to assist you.

Please contact HackerRank support directly with this order ID and a description of the issue (e.g., duplicate charge, failed payment, incorrect amount). A support agent will investigate and follow up with you.",Payment issue requires manual transaction lookup by the billing team; self-service resolution is not available.,product_issue
"I am planning to start using HackerRank for hiring, can you help us with the infosec process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,escalated,enterprise_security_compliance,"Thank you for your interest in HackerRank for hiring! For enterprise customers requiring infosec documentation — such as SOC 2 reports, security questionnaires, or vendor assessment forms — please contact your HackerRank account manager or the enterprise sales team.

HackerRank support agents are not able to directly fill in or sign off on third-party security forms, but the enterprise team has the appropriate documentation and personnel to assist you.",Infosec/vendor security questionnaires require the enterprise sales or security team; outside frontline support scope.,product_issue
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,replied,candidate_portal,"The **Apply** tab is available to candidate accounts on HackerRank, allowing you to browse and apply to posted jobs.

If you cannot see the Apply tab, please check:
1. Ensure you are logged in to a **candidate account** (not a company/recruiter account — company accounts do not have an Apply tab).
2. Try logging out and logging back in.
3. Clear your browser cache and refresh the page.

If the issue persists after these steps, please contact HackerRank support with your account email for further assistance.",Apply tab visibility is a known account-type issue; answered with documented steps.,product_issue
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,escalated,platform_reliability,"We're sorry to hear that submissions are not working across challenges on HackerRank. This may indicate a platform-wide issue.

Please check the HackerRank status page for any ongoing incidents. If a widespread issue is confirmed, the engineering team is actively working to restore service.

If the status page shows no incidents but you are still experiencing problems, please contact HackerRank support with your account email, browser/OS details, and a description of the error you see when submitting.",Platform-wide submission failure indicates a potential outage; escalated for engineering review.,bug
I am facing an blocker while doing compatible check all the criterias are matching other than zoom connectivity. Due to which i am unable to take the test. I have done all through my way by changing the settings and system configurations but still showing error,I am facing an blocker while doing compatible check,HackerRank,replied,interview_compatibility,"We're sorry you're experiencing a Zoom connectivity issue during the compatibility check. Here are the steps to try:

1. **Ensure Zoom is installed and updated** to the latest version.
2. **Check firewall and proxy settings** — Zoom requires specific ports to be open. Ask your IT team if Zoom is allowed through your network.
3. **Try a different network** (e.g., mobile hotspot instead of corporate Wi-Fi).
4. **Restart your computer** and re-run the compatibility check.
5. **Disable VPN** if you are using one, as VPNs can block Zoom connectivity.

If none of these steps resolve the issue, please contact HackerRank support with:
- Your system details (OS, browser, Zoom version)
- Screenshots of the error
- The test name and scheduled time

This will help us escalate to the recruiting company on your behalf.",Zoom connectivity issue during compatibility check — answered with documented troubleshooting steps; escalation path provided if unresolved.,product_issue
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,replied,assessment_scheduling,"Thank you for reaching out. HackerRank does not directly control recruiter-specific assessment schedules or the ability to reschedule on a company's behalf.

To request a rescheduling, please **contact the recruiting company directly** — reach out to your recruiter or the HR contact who sent you the assessment invite. They are the only ones who can grant an extension or reschedule the test.

HackerRank support cannot reschedule assessments or communicate with companies on your behalf.","Assessment rescheduling is controlled by the recruiting company, not HackerRank support; directed user appropriately.",product_issue
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together without being kicked out of the room?
",Candidate inactivity help,HackerRank,escalated,interview_configuration,"Thank you for this detailed report. HackerRank interview sessions do have inactivity timeouts that can affect both interviewers and candidates.

Your observation is likely correct — interviewers who are primarily watching a screen share may appear inactive to the system, which could trigger a session timeout.

To review and potentially adjust the inactivity timeout settings for your account, please contact HackerRank support with your account details. Our team can check the current timeout configuration and work with you on extending the inactivity threshold if possible for your workspace.",Inactivity timeout configuration requires account-level review by HackerRank support; cannot be self-served.,product_issue
"it's not working, help",Help needed,,escalated,general_support,"We're sorry to hear you're experiencing an issue! To help you effectively, we need a bit more information:

- **Which product or service** are you using? (HackerRank, Claude, or Visa)
- **What exactly is not working?** (e.g., can't log in, page not loading, error message)
- **What were you trying to do** when the issue occurred?

Please reply with these details and we'll get you sorted out.",Ticket is too vague to diagnose; no product or description provided — escalated and user asked for clarification.,product_issue
Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. Can you let me know how to do this?,How to Remove a User,HackerRank,replied,user_management,"To remove an interviewer from HackerRank:

1. Go to the **team management section** of your HackerRank for Work account.
2. Locate the interviewer by name.
3. Click the **three dots (⋮)** next to their profile.
4. Select **Remove** from the options.

If the remove option is not visible, this is likely a permissions issue — you may need **admin privileges** to remove users. Please check with your workspace admin.

If you have admin access and still cannot see the option, please contact HackerRank support with your account email and the interviewer's name for further assistance.",User removal is a documented self-service action; answered with steps and admin-check guidance.,product_issue
"Hi, please pause our subscription. We have stopped all hiring efforts for now.
",Subscription pause,HackerRank,escalated,subscription_billing,"We understand that hiring needs change, and we appreciate you letting us know. Pausing or modifying a HackerRank subscription is not available as a self-service option.

Please contact the **HackerRank sales or support team** directly with your account details and your request to pause the subscription. They will be able to advise on available options based on your current plan.",Subscription pause requires manual action by the sales/accounts team; self-service not available.,product_issue
